ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
101775;#02 MERCEARIA - MASSAS;NISSIN LAMEN HOT 85GMEXICANO;MACARRÃO INSTANTANEO NISSIM LAMEN 85G HOT MEXICANO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101776;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GLEGUMES;MACARRÃO INSTANTANEO NISSIM LAMEN 85G LEGUMES;#02 MERCEARIA - MASSAS INSTANTÂNEAS
113723;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GPICANHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G PICANHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
294326;#02 MERCEARIA - MASSAS;MACARRÃO INST. NISSIN 85GSABOR GALINHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G SABOR GALINHA PICANTE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
119768;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GCARNE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE CARNE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101786;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GGALINHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE GALINHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101785;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GTOMATE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE TOMATE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
297030;#02 MERCEARIA - LATICINEOS;LEITE ITALAC 1L DESNATADO ZERO LACTOSE;LEITE ITALAC DESNATADO ZERO LACTOSE 1L;#02 MERCEARIA - LATICÍNIOS
219003;#02 MERCEARIA - LATICINEOS;LEITE UHT INTEGRAL ZERO LACTOSE C/TAMPA;LEITE ITALAC INTEGRAL ZERO LACTOSE 1L;#02 MERCEARIA - LATICÍNIOS
173095;#02 MERCEARIA - LATICINEOS;LEITE ITALAC 1L SEMIDESNAT. ZERO LACTOSE;LEITE ITALAC SEMIDESNATADO ZERO LACTOSE 1L;#02 MERCEARIA - LATICÍNIOS
183340;#02 MERCEARIA - LATICINEOS;LEITE UHT ITALAC SEMI DESNATADO 1L;LEITE ITALAC UHT SEMI DESNATADO 1L;#02 MERCEARIA - LATICÍNIOS
170363;#02 MERCEARIA - LATICINEOS;LEITE L.VIDA LEITBOM INTEGRAL;LEITE LEITBOM 1L INTEGRAL;#02 MERCEARIA - LATICÍNIOS
101113;#02 MERCEARIA - LATICINEOS;LEITE PIRACANJUBA UHT 1L EDGE INTEGRAL;LEITE PIRACANJUBA 1L INTEGRAL;#02 MERCEARIA - LATICÍNIOS
251877;#02 MERCEARIA - LATICINEOS;LEITE PO NINHO INTEGRAL LT 380G;LEITE PO NINHO LATA 380G INTEGRAL;#02 MERCEARIA - LATICÍNIOS
252582;#02 MERCEARIA - LATICINEOS;QUEIJO MUSSARELA THETIZ KG;QUEIJO MUSSARELA THETIZ KG;#02 MERCEARIA - LATICÍNIOS
155246;#02 MERCEARIA - LATICINEOS;REQUEIJÃO CREMOSO CANTO DE MINAS 200GR T;REQUEIJÃO CANTO DE MINAS 200G CREMOSO TRADICIONAL;#02 MERCEARIA - LATICÍNIOS
302944;#02 MERCEARIA - LATICINEOS;REQUEIJÃO FRUTAP 175GR MISTURA DE AMIDO;REQUEIJÃO DE FRUTAP 175G MISTURA DE AMIDO;#02 MERCEARIA - LATICÍNIOS
101874;#02 MERCEARIA - LATICINEOS;ACHOC LIQ TODDYNHO 200ML CHOCOLATE;TODDYNHO 200ML CHOCOLATE;#02 MERCEARIA - LATICÍNIOS
321318;#02 MERCEARIA - MASSAS;NISSIN CUP NOODLES 68GR QUEIJO NACHO;CUP NOODLES NISSIN 68G QUEIJO NACHO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
206111;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69G CARNE DEFUMADA;CUP NOODLES NISSIN 69G CARNE DEFUMADA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
